ID	log2fold	p	p.adj
ENSG00000110514	-0.12	0.256080151764	0.429661281364
ENSG00000086015	0.27	0.0354926530832	0.109089335798
ENSG00000115808	0.11	0.356669596557	0.534842536795
ENSG00000211769	-0.47	0.16134055378	0.312066559746
ENSG00000211768	-0.6	0.0869845629338	0.203246647887
ENSG00000211767	-0.37	0.247494910602	0.419768351592
ENSG00000211766	-0.41	0.202298023935	0.366757908918
ENSG00000211765	-0.61	0.0610273810043	0.158935100041
ENSG00000211764	-0.57	0.0262922406582	0.0883657629373
ENSG00000169740	-0.27	0.186930658384	0.346495638007
ENSG00000261609	-0.45	0.00227140447726	0.0158517310107
ENSG00000169744	-0.96	0.00346220985868	0.0211839390219
ENSG00000261606	-0.05	0.946525950637	NA
ENSG00000215867	0.32	0.218861798286	0.386769401186
ENSG00000215861	-0.1	0.751592336275	0.85414928661
ENSG00000266469	-0.09	0.260546112471	0.434451029987
ENSG00000168298	0.57	0.144708179845	0.289782740431
ENSG00000168297	0.54	0.00495019024754	0.0271674982027
ENSG00000266467	0.26	0.533883775234	0.692618601353
ENSG00000168291	0.04	0.558303972696	0.711615635159
ENSG00000204227	0.11	0.32610529776	0.504027260634
ENSG00000204220	0.18	0.125540778135	0.262059609712
ENSG00000225101	0.24	0.309477724251	0.485544195664
ENSG00000226457	-0.06	0.897366372862	0.945427207217
ENSG00000226454	-0.57	0.371568931447	NA
ENSG00000226450	-0.01	0.97908210779	0.989509049648
ENSG00000149798	0.65	0.00729889253309	0.0358864736894
ENSG00000250565	0.05	0.640917812003	0.776259396826
ENSG00000187961	-0.1	0.553650758614	0.708215268307
ENSG00000125409	-0.35	0.549900177709	NA
ENSG00000250568	0.48	0.185362554633	0.34453099611
ENSG00000250569	0.11	0.623709841101	0.76337719267
ENSG00000162840	-0.03	0.962160100577	NA
ENSG00000162843	-0.62	0.266710158044	NA
ENSG00000162849	0.03	0.930940887987	0.963961444297
ENSG00000184702	0.67	0.0280503384116	0.0925828946765
ENSG00000283683	0.65	0.0741685929502	0.181917756205
ENSG00000184708	0.01	0.933017725666	0.964751579379
ENSG00000163462	-0.19	0.389186034638	0.566714098184
ENSG00000163463	0.06	0.573848030288	0.724629473196
ENSG00000163464	0.78	0.000905831782659	0.00858369670085
ENSG00000163466	0.43	0.0125245437497	0.0522585896779
ENSG00000163467	-0.72	0.0336034724045	0.10487511056
ENSG00000163468	0.13	0.228346704168	0.397812819126
ENSG00000162599	0.54	0.00802747714006	0.0383251463943
ENSG00000162598	0.7	0.563537132476	0.715978211576
ENSG00000267731	-1.59	1.83482899226E-05	0.000751119160936
ENSG00000162592	-1.52	0.037934747027	NA
ENSG00000162591	0.01	0.963057580104	0.981548484202
ENSG00000267734	1.22	0.0117177024071	0.0499886462578
ENSG00000162595	0.39	0.586175122657	NA
ENSG00000162594	-1.06	0.0211584850571	0.0756895120512
ENSG00000272384	-0.97	0.209490510956	NA
ENSG00000118640	0.34	0.0513636489368	0.141471715358
ENSG00000263603	0.64	0.168164914863	0.321869573273
ENSG00000263606	0.19	0.518336653039	0.679695612231
ENSG00000115073	-0.15	0.0829340449295	0.196589312496
ENSG00000259161	0.12	0.811910466279	0.891981273445
ENSG00000259162	-0.89	0.0115283933696	0.0493853977026
ENSG00000029534	0.75	0.0467370675575	0.13216269086
ENSG00000213857	0.27	0.537009833531	0.694736891665
ENSG00000213859	0.24	0.0402252128588	0.119159032549
